# Results from Rekordbox 7.12
ID	Class	Camelot	Keyname
4846004	9	10A	B minor
5740146	1	2A	D# minor
1209745	17	6B	A# major
1682815	10	11A	F# minor
4483817	0	1A	G# minor
3015217	3	4A	F minor
2725286	5	6A	G minor
5026646	3	4A	F minor
3389317	8	9A	E minor
3334471	0	1A	G# minor
3571314	11	12A	C# minor
1004923	3	4A	F minor
5362946	7	8A	A minor
582991	5	6A	G minor
3997722	4	5A	C minor
1298595	3	4A	F minor
4995597	19	8B	C major
4254573	4	5A	C minor
3257231	20	9B	G major
923397	2	3A	A# minor
511348	8	9A	E minor
2673251	1	2A	D# minor
890568	8	9A	E minor
975138	1	2A	D# minor
3249708	3	4A	F minor
2031096	7	8A	A minor
4325646	10	11A	F# minor
3033991	4	5A	C minor
2435861	6	7A	D minor
3298344	3	4A	F minor
2070773	7	8A	A minor
1927655	5	6A	G minor
3958861	20	9B	G major
903963	18	7B	F major
4983728	5	6A	G minor
3402887	3	4A	F minor
1568217	18	7B	F major
4014747	5	6A	G minor
2438899	2	3A	A# minor
2069519	3	4A	F minor
1850984	6	7A	D minor
3568459	9	10A	B minor
3526370	17	6B	A# major
2075331	5	6A	G minor
3773561	19	8B	C major
3892740	21	10B	D major
3334441	17	6B	A# major
3938837	8	9A	E minor
4877006	3	4A	F minor
4823611	3	4A	F minor
1695408	7	8A	A minor
1650934	3	4A	F minor
5120298	3	4A	F minor
2053495	10	11A	F# minor
3302451	21	10B	D major
4191993	8	9A	E minor
3005030	8	9A	E minor
3772753	6	7A	D minor
2051166	8	9A	E minor
3434746	18	7B	F major
4815758	4	5A	C minor
3246151	17	6B	A# major
1678455	7	8A	A minor
1809174	22	11B	A major
3873733	1	2A	D# minor
4666231	12	1B	B major
1771576	5	6A	G minor
3479363	2	3A	A# minor
3232851	7	8A	A minor
4275052	21	10B	D major
1984204	3	4A	F minor
2725290	5	6A	G minor
1105632	4	5A	C minor
4950614	8	9A	E minor
191347	2	3A	A# minor
3432247	8	9A	E minor
4320199	0	1A	G# minor
5081990	10	11A	F# minor
3383171	22	11B	A major
4088665	19	8B	C major
3794008	11	12A	C# minor
4846007	13	2B	F# major
3667683	16	5B	D# major
4060751	1	2A	D# minor
1981501	8	9A	E minor
3625788	5	6A	G minor
3713557	1	2A	D# minor
3361547	5	6A	G minor
3979989	1	2A	D# minor
3858331	4	5A	C minor
4995394	10	11A	F# minor
4207145	13	2B	F# major
2741219	7	8A	A minor
4186982	5	6A	G minor
3024384	8	9A	E minor
1814469	3	4A	F minor
4802314	20	9B	G major
3338963	6	7A	D minor
3590070	22	11B	A major
4045225	11	12A	C# minor
3260121	0	1A	G# minor
4957129	6	7A	D minor
472626	5	6A	G minor
4970082	3	4A	F minor
4965571	5	6A	G minor
209206	7	8A	A minor
1690921	21	10B	D major
3151513	3	4A	F minor
4284574	7	8A	A minor
1964905	5	6A	G minor
3356535	7	8A	A minor
877345	16	5B	D# major
3409548	1	2A	D# minor
4048367	21	10B	D major
5171396	15	4B	G# major
3133794	0	1A	G# minor
4018247	5	6A	G minor
4981539	10	11A	F# minor
2026524	13	2B	F# major
671546	7	8A	A minor
3568465	1	2A	D# minor
634032	4	5A	C minor
1549964	11	12A	C# minor
4927725	0	1A	G# minor
5036476	10	11A	F# minor
5079918	0	1A	G# minor
3789116	10	11A	F# minor
3706570	1	2A	D# minor
4873286	10	11A	F# minor
3364661	22	11B	A major
3986537	22	11B	A major
1991458	9	10A	B minor
3572702	8	9A	E minor
3345479	18	7B	F major
1763782	10	11A	F# minor
4981541	2	3A	A# minor
1406309	0	1A	G# minor
1034795	9	10A	B minor
1234748	18	7B	F major
2436276	22	11B	A major
4166222	8	9A	E minor
3568438	0	1A	G# minor
4167325	3	4A	F minor
1822502	20	9B	G major
3668409	9	10A	B minor
1864037	11	12A	C# minor
981591	0	1A	G# minor
5308082	0	1A	G# minor
3186615	3	4A	F minor
1856889	2	3A	A# minor
5039016	5	6A	G minor
4666417	23	12B	E major
3014118	9	10A	B minor
4927548	3	4A	F minor
3826491	6	7A	D minor
883724	3	4A	F minor
973819	4	5A	C minor
4827420	10	11A	F# minor
3813682	5	6A	G minor
4098993	17	6B	A# major
2680040	22	11B	A major
3642409	0	1A	G# minor
1950170	2	3A	A# minor
1652412	16	5B	D# major
3753635	18	7B	F major
3229038	4	5A	C minor
3667215	0	1A	G# minor
975137	13	2B	F# major
4066359	4	5A	C minor
101069	8	9A	E minor
1234749	18	7B	F major
835903	7	8A	A minor
1033148	3	4A	F minor
3363602	6	7A	D minor
3150078	10	11A	F# minor
3275147	3	4A	F minor
5013063	8	9A	E minor
3270413	8	9A	E minor
5417860	0	1A	G# minor
4934196	7	8A	A minor
3480108	10	11A	F# minor
1614715	10	11A	F# minor
4485436	3	4A	F minor
2048940	5	6A	G minor
5048249	7	8A	A minor
3288636	7	8A	A minor
1041574	3	4A	F minor
5304804	3	4A	F minor
945256	1	2A	D# minor
3963180	10	11A	F# minor
3841927	4	5A	C minor
1970992	0	1A	G# minor
4596347	3	4A	F minor
774874	13	2B	F# major
1494159	1	2A	D# minor
4735775	1	2A	D# minor
2018991	15	4B	G# major
997308	5	6A	G minor
3482733	5	6A	G minor
3415063	5	6A	G minor
3725440	4	5A	C minor
3958397	7	8A	A minor
3625787	4	5A	C minor
3542099	3	4A	F minor
3642384	1	2A	D# minor
4086909	5	6A	G minor
4723905	3	4A	F minor
4996389	7	8A	A minor
3661550	7	8A	A minor
2440193	7	8A	A minor
5264038	21	10B	D major
3958755	16	5B	D# major
2046342	2	3A	A# minor
1986370	1	2A	D# minor
682724	5	6A	G minor
3093661	5	6A	G minor
781373	23	12B	E major
3415421	8	9A	E minor
677299	13	2B	F# major
4863806	3	4A	F minor
1074548	7	8A	A minor
1224698	20	9B	G major
839886	5	6A	G minor
667508	6	7A	D minor
814290	23	12B	E major
3095708	5	6A	G minor
3572701	3	4A	F minor
3368117	0	1A	G# minor
5431709	15	4B	G# major
2667501	3	4A	F minor
3003894	4	5A	C minor
10089	21	10B	D major
3533740	9	10A	B minor
3792959	8	9A	E minor
4917941	3	4A	F minor
1949099	12	1B	B major
4188100	3	4A	F minor
3274260	18	7B	F major
3833050	11	12A	C# minor
1792100	4	5A	C minor
3379400	16	5B	D# major
4900482	10	11A	F# minor
4231980	5	6A	G minor
4615188	0	1A	G# minor
4609349	7	8A	A minor
3628628	8	9A	E minor
1650933	1	2A	D# minor
4091478	7	8A	A minor
4566667	10	11A	F# minor
3428673	4	5A	C minor
1626779	9	10A	B minor
1193612	10	11A	F# minor
1234668	5	6A	G minor
61415	3	4A	F minor
4983645	6	7A	D minor
2024026	19	8B	C major
1990297	3	4A	F minor
3426022	6	7A	D minor
3271514	7	8A	A minor
3533310	12	1B	B major
4328388	4	5A	C minor
1257593	10	11A	F# minor
3069201	19	8B	C major
3395666	10	11A	F# minor
3958398	17	6B	A# major
1234669	0	1A	G# minor
2031094	7	8A	A minor
2007977	0	1A	G# minor
1822087	13	2B	F# major
3272873	9	10A	B minor
1442809	11	12A	C# minor
5015793	8	9A	E minor
3250632	3	4A	F minor
190477	21	10B	D major
4920936	10	11A	F# minor
1234750	7	8A	A minor
1353830	7	8A	A minor
3535112	2	3A	A# minor
4206954	21	10B	D major
3757006	4	5A	C minor
611797	22	11B	A major
896478	9	10A	B minor
907837	5	6A	G minor
3914630	10	11A	F# minor
4202763	7	8A	A minor
3228649	0	1A	G# minor
3701975	18	7B	F major
4498388	6	7A	D minor
1787061	10	11A	F# minor
1415239	4	5A	C minor
4935536	3	4A	F minor
1052744	19	8B	C major
1944125	15	4B	G# major
400259	5	6A	G minor
4277742	3	4A	F minor
3367551	23	12B	E major
3361909	1	2A	D# minor
873455	20	9B	G major
3363196	8	9A	E minor
2059625	3	4A	F minor
3518768	4	5A	C minor
1056896	7	8A	A minor
4062807	8	9A	E minor
3523229	10	11A	F# minor
1792026	9	10A	B minor
2666528	11	12A	C# minor
2760321	15	4B	G# major
4125044	15	4B	G# major
208158	21	10B	D major
203493	6	7A	D minor
4505122	2	3A	A# minor
4956417	12	1B	B major
4107957	7	8A	A minor
3759800	9	10A	B minor
2448121	3	4A	F minor
3858324	9	10A	B minor
4364668	1	2A	D# minor
1037507	20	9B	G major
4262569	13	2B	F# major
4153238	7	8A	A minor
774875	19	8B	C major
4173942	8	9A	E minor
398124	22	11B	A major
423054	7	8A	A minor
3165770	9	10A	B minor
1161249	5	6A	G minor
678406	8	9A	E minor
1017921	12	1B	B major
814505	22	11B	A major
1149778	10	11A	F# minor
4661735	5	6A	G minor
4450726	8	9A	E minor
1389887	7	8A	A minor
4162405	7	8A	A minor
3789117	2	3A	A# minor
376240	3	4A	F minor
1486770	7	8A	A minor
3602280	3	4A	F minor
1939732	1	2A	D# minor
3349486	18	7B	F major
3935095	8	9A	E minor
1316308	4	5A	C minor
2434664	19	8B	C major
3116329	5	6A	G minor
3313145	11	12A	C# minor
3703893	23	12B	E major
3967462	17	6B	A# major
4440292	0	1A	G# minor
272788	2	3A	A# minor
1978917	4	5A	C minor
3858289	7	8A	A minor
1575015	7	8A	A minor
1982269	6	7A	D minor
1725800	9	10A	B minor
2447748	7	8A	A minor
3450181	4	5A	C minor
3390952	4	5A	C minor
74982	15	4B	G# major
1103512	2	3A	A# minor
2048054	4	5A	C minor
1009960	8	9A	E minor
1474122	15	4B	G# major
846900	8	9A	E minor
847422	7	8A	A minor
5450838	9	10A	B minor
